	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene																																													
A2M	all	0.07082881823465961	0.013236364283612218	10	10	all	0.7776068673513029	-0.00552045677276794	9	9	all	0.32156698176096776	0.00489042116942852	9	9	all	0.5467756037595886	-0.04860596907575596	10	10	all	0.47573437634515825	0.025350437234435547	10.0	10.0	all	0.9237929096984403	-0.02301429225042025	10.0	10.0	all	0.703942343833937	0.1425952914921412	9	9	all	0.432941060508226	0.04450782743299262	10	10	all	0.6343999938523295	0.0693831783177307	9	9
A4GALT	ENST00000249005.2,ENST00000381278.3	0.5425086867762097	-0.003068286226316401	10	10	ENST00000401850.1	0.03418017116008868	0.029815655038228393	10	10	ENST00000249005.2,ENST00000381278.3	0.3764099741140601	-0.0217918053778951	10	10	ENST00000401850.1	0.07856636649167886	0.10138147533906407	10	10	ENST00000249005.2,ENST00000381278.3	0.34124758633282326	-0.033877343025855294	10.0	10.0	ENST00000401850.1	0.36762137042719545	0.033184858782981996	10.0	10.0	ENST00000401850.1	0.17488448431291836	0.28887356292517835	10	10	ENST00000249005.2,ENST00000381278.3	0.16223105470167432	-0.26994885049730294	10	10	ENST00000249005.2,ENST00000381278.3	0.32649324853989337	-0.21000801484637102	10	10
AACS	all	0.19671314263850692	-0.03253747348558242	10	10	all	0.8159628165544466	0.023324968952834712	10	10	all	0.6757434384930329	-0.04758710581957834	10	10	all	0.02903694738195222	0.2326988966679324	10	10	all	0.7982243770265369	0.22331519739045172	10.0	10.0	all	0.19457119214101048	0.2406912368220575	10.0	10.0	all	0.01600833870987623	0.4513678197704279	10	10	all	0.25564406744111756	0.5871048783229151	10	10	all	0.07584249673195101	0.6721592371198336	10	10
AATF	all	0.00895218335914643	-0.17094033164135472	10	10	all	0.03283351212928177	-0.1260878314905371	10	10	all	0.011332652792485933	-0.1485140815659459	10	10	all	0.2303392418568232	-0.08365304558546265	8	8	all	0.5142396417769276	-0.11418981286731678	8.0	8.0	all	0.12820976057224867	-0.07195552735389506	8.0	8.0	all	0.010993053990225562	-0.8096381065954218	10	10	all	0.1180112031212413	-0.8062400553207486	10	10	all	0.010448592671458888	-0.7542949012603127	10	10
ABCA1	all	0.2922144871490471	-0.01331742797177785	10	10	all	0.22648527515810402	-0.023146691839397802	10	10	all	0.9182118649162754	-0.013831771933363476	10	10	all	0.2831510125940485	0.08336504532041966	10	10	all	0.01312346864776919	0.105064819782322	10.0	10.0	all	0.03021245688759675	0.10655257594157876	10.0	10.0	all	0.1598269158125063	0.2558045763319332	10	10	all	0.07731798162781889	0.2579637600362779	10	10	all	0.03369318334927674	0.27886502802206337	10	10
ABCA13	all	0.3853906696041277	0.026482568557938405	10	10	all	0.26006903866101316	0.021007537331481887	10	10	all	0.11724020645045272	0.022523657098889455	10	10	all	0.07194332160577104	0.07775558163389933	10	10	all	0.5463249496678061	0.05055437616438078	10.0	10.0	all	0.1084149617458211	0.07042364424164811	10.0	10.0	all	0.0258048459117895	0.24137974520799702	10	10	all	0.1859800066358872	0.31278587286108367	10	10	all	0.030653616315523033	0.24626020598116538	10	10
ABCA3	all	0.2314271684182031	-0.03992498694869948	9	9	all	0.5940774692093891	-0.05554156596272774	10	10	all	0.6161843563761429	-0.04353190373842151	9	9	all	0.2544345822812858	-0.08214945589286086	8	8	all	0.06116412634484085	-0.0800063564439169	9.0	9.0	all	0.04693141621534895	-0.06293383992722947	8.0	8.0	all	0.43332043933543407	-0.2258775030485379	9	9	all	0.0374887701511389	-0.7317768508723795	9	9	all	0.07868564298993957	-0.5206961937072647	9	9
ABCA4	all	0.4118149644933956	-0.010027592753765961	10	10	all	0.7979394907475131	0.009206926906304482	10	10	all	0.6481455303838877	0.007769902042108992	10	10	all	0.5747980150100926	-0.0449958458107953	10	10	all	0.47229198935977934	0.03628439121294836	10.0	10.0	all	0.9199791594152594	-0.008390158854981046	10.0	10.0	all	0.5666358715466613	-0.29590022826657747	10	10	all	0.3657440074696682	0.09390033149280912	10	10	all	0.9823471902423857	-0.056698606428201785	10	10
ABCA5	ENST00000392676.3,ENST00000392677.2	0.44045203867917015	-0.02540201083084874	10	10	ENST00000392676.3,ENST00000392677.2	0.08123194157865893	-0.06966118919352965	10	10	ENST00000392676.3,ENST00000392677.2	0.15475350158296514	-0.0532089796452745	10	10	ENST00000392676.3,ENST00000392677.2	0.034477329107091496	-0.11020342329017957	10	10	ENST00000588877.1	0.0032913510839562526	0.10304978746512776	10.0	10.0	ENST00000588877.1	0.04472855751506285	0.07861202337433683	10.0	10.0	ENST00000392676.3,ENST00000392677.2	0.03330467932915015	-0.4095369212174471	10	10	ENST00000588877.1	0.002998125500294909	0.30573033444015213	10	10	ENST00000588877.1	0.03282770024092461	0.21312298952066933	10	10
ABCA6	all	0.25085469391230175	-0.02655185819074497	10	10	all	0.020776422757270187	0.03579838386175743	10	10	all	0.45437342646709566	0.018629435315396247	10	10	all	0.24976507866025477	0.01989140942585529	10	10	all	0.07206947152136083	-0.10913845189921212	10.0	10.0	all	0.838571048231657	-0.03489091944567913	10.0	10.0	all	0.538933815297816	0.05367319644967439	10	10	all	0.43294106415268196	-0.1482647767905152	10	10	all	0.904256016829318	-0.016929733506463762	10	10
ABCA7	all	0.6039321435875502	0.005033205223102616	10	10	all	0.3979091397069806	0.010654786904150256	10	10	all	0.45008081347916906	0.007843996063626436	10	10	all	0.6652799199455821	-0.014996448780318363	10	10	all	0.9977759675836461	-0.007700108122737664	10.0	10.0	all	0.8857486027383367	-0.0010730638393271347	10.0	10.0	all	0.834093544614077	0.07721990044532974	10	10	all	0.4976720719347554	-0.2492372541453094	10	10	all	0.6068762179931344	-0.1591785529226541	10	10
ABCA9	all	0.7793577115066533	0.01956545594756703	9	9	all	0.7227270679253109	0.015598762263911421	9	9	all	0.695256855488418	0.009397208149783945	9	9	all	0.9290943015125455	-0.02732377342646053	9	9	all	0.41454809054701325	-0.045417780834261935	10.0	10.0	all	0.278825721711774	-0.026423663758522734	9.0	9.0	all	0.7910455453316858	-0.08885974639511485	9	9	all	0.7077996650513101	-0.1656869922004899	10	10	all	0.2848707859152084	-0.061370987110861565	9	9
ABCB1	all	0.5691015382292481	-0.011075353673807804	8	8	all	0.24854873217215234	-0.0013202413661612007	9	9	all	0.04914625385167913	-0.02170475456862798	8	8	all	1.0	0.03332500005675724	8	8	all	0.7736320029009849	0.022426479766248657	9.0	9.0	all	0.47507149713910635	0.04017082328274827	8.0	8.0	all	0.8414482486541349	-0.04248888231586596	8	8	all	0.7656416066552589	0.09588776904389495	8	8	all	0.9493957295950561	0.026675356425706353	8	8
ABCB10	all	0.1381942460341442	-0.15400955486582374	10	10	all	0.8809644582922693	-0.0353107160407567	9	9	all	0.5591912705546138	-0.04158272334250753	9	9	all	0.9022769844952734	0.00819350720458819	8	8	all	0.5174056904214593	-0.04279259333789583	8.0	8.0	all	0.6604453068976053	-0.028237838354464903	8.0	8.0	all	0.24997657391076233	-1.1500943176800948	10	10	all	0.7897027697686975	-0.1924320178173734	9	9	all	0.9441974976092813	-0.309086882214437	9	9
ABCB11	all	0.997798375208981	-0.004139106112195365	10	10	all	0.9776559533733753	0.017407935361135857	10	10	all	0.8437908498607755	0.013848054821995226	10	10	all	0.02220835798470158	-0.11676699357306276	10	10	all	0.6964762985742776	-0.02560223203212988	9.0	9.0	all	0.03594481222121693	-0.0581745979113078	9.0	9.0	all	0.022625021389831752	-0.2764197883167531	10	10	all	0.6482407181843177	-0.2478366217109315	10	10	all	0.04414718406363342	-0.1527008397399531	10	10
ABCB8	all	0.30355661878750784	0.006021042867951322	10	10	all	0.16389073918972508	-0.03265836047963286	10	10	all	0.5656370782606644	-0.013228471915714876	10	10	all	0.6184799981125546	-0.024893321639565924	10	10	all	0.7795265341260947	-0.022634740622589966	10.0	10.0	all	0.9314255806494793	-0.015811175404551337	10.0	10.0	all	0.8154923415362636	0.14803745632287524	10	10	all	0.49767206706935696	-0.11662630516520374	10	10	all	0.6023846797573146	-0.05003867841151457	10	10
ABCC1	all	0.8691238542804774	-0.00364950005108113	10	10	all	0.11604544154652559	-0.04023853267681252	10	10	all	0.14664452440854245	-0.008892063177592238	10	10	all	0.22873923106302552	-0.08346964000640766	10	10	all	0.4054968677259083	0.04529663075677862	10.0	10.0	all	0.6681736596921211	-0.0346143145057365	10.0	10.0	all	0.22137536715578554	-0.37309871738813793	10	10	all	0.9781436673411957	0.116489022342836	10	10	all	0.21338775416790867	-0.0463866806283069	10	10
ABCC3	all	0.18599907533579818	0.009162295876109956	10	10	all	0.8901878803041797	-0.00959146602360775	10	10	all	0.4161232887855175	0.014167592575750683	10	10	all	0.6794440150473345	0.0019021560154588422	10	10	all	0.1354738927608427	0.05404152407065868	10.0	10.0	all	0.28940287410166243	0.02436538424543616	10.0	10.0	all	0.9077501407873511	0.04829671824475772	10	10	all	0.1476080369038574	0.33161895427951343	10	10	all	0.1559279853373886	0.21211231071445372	10	10
ABCC4	all	0.5027792342328747	0.0363850512541326	10	10	all	0.3439715913661541	-0.005907626760137007	10	10	all	0.46351095549743426	0.03236908410603437	10	10	all	0.03291937538717069	0.044836201144246	10	10	all	0.8468587004152724	-0.016894156397736622	10.0	10.0	all	0.0748367634163168	0.014274843862167102	10.0	10.0	all	0.010993054264199338	0.2686988352889825	10	10	all	0.6551072502037982	0.13641811017332056	10	10	all	0.05838364489446407	0.20154038223277662	10	10
ABCD2	all	0.16504244103181243	-0.02914569496665875	9	9	all	0.08193658980281543	0.032471541978340276	9	9	all	0.44647511973710685	0.009894094229492592	9	9	all	0.5328072882583665	0.12713460986394962	9	9	all	0.23504619105472535	-0.017740741684715455	9.0	9.0	all	0.7388221237381083	0.02270967180572726	9.0	9.0	all	0.6936839302976883	0.2738600594564597	9	9	all	0.5905779856405671	0.047535624906810764	9	9	all	0.5921097271519453	0.08569159721769608	9	9
ABCD4	all	0.2712516648817592	0.006009883148915499	10	10	all	0.7249340509888433	0.016311196769118894	10	10	all	0.3578759522861271	0.010940684571771364	10	10	all	0.10833068900930642	-0.13487174471481245	10	10	all	0.7016675315960244	-0.09523456419466075	10.0	10.0	all	0.20927933760199546	-0.09089891272567291	10.0	10.0	all	0.25476221132486276	-0.3416035979956648	10	10	all	0.9616821731406784	-0.16597651631774812	10	10	all	0.5169202312732599	-0.2639919205446728	10	10
